Iteration, Loss, Accuracy,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3
1,0.132558,0.109400,,,
2,0.131556,0.109600,,,
3,0.130578,0.110000,,,
4,0.129627,0.110000,,,
5,0.128699,0.109800,,,
6,0.127794,0.110000,,,
7,0.126912,0.110200,,,
8,0.126051,0.110400,,,
9,0.125210,0.110600,,,
10,0.124390,0.110800,,,
11,0.123590,0.111200,,,
12,0.122809,0.111600,,,
13,0.122048,0.111800,,,
14,0.121306,0.111800,,,
15,0.120581,0.111400,,,
16,0.119874,0.111800,,,
17,0.119183,0.111600,,,
18,0.118509,0.111400,,,
19,0.117851,0.111600,,,
20,0.117208,0.111600,,,
21,0.116581,0.111400,,,
22,0.115968,0.111000,,,
23,0.115370,0.111000,,,
24,0.114786,0.111000,,,
25,0.114215,0.110600,,,
26,0.113658,0.110800,,,
27,0.113114,0.110600,,,
28,0.112582,0.110400,,,
29,0.112062,0.110400,,,
30,0.111554,0.110400,,,
31,0.111058,0.110200,,,
32,0.110573,0.109800,,,
33,0.110099,0.109800,,,
34,0.109636,0.109600,,,
35,0.109182,0.109200,,,
36,0.108740,0.109200,,,
37,0.108306,0.108400,,,
38,0.107883,0.108200,,,
39,0.107469,0.107400,,,
40,0.107064,0.107000,,,
41,0.106668,0.106800,,,
42,0.106280,0.106600,,,
43,0.105901,0.106000,,,
44,0.105530,0.105400,,,
45,0.105168,0.105400,,,
46,0.104813,0.105200,,,
47,0.104467,0.104800,,,
48,0.104127,0.104000,,,
49,0.103795,0.103000,,,
50,0.103470,0.103000,,,
51,0.103152,0.101800,,,
52,0.102841,0.101400,,,
53,0.102536,0.101200,,,
54,0.102238,0.100600,,,
55,0.101946,0.100600,,,
56,0.101661,0.100800,,,
57,0.101381,0.100400,,,
58,0.101108,0.100000,,,
59,0.100840,0.100000,,,
60,0.100578,0.100000,,,
61,0.100321,0.099400,,,
62,0.100069,0.099400,,,
63,0.099823,0.099200,,,
64,0.099582,0.099200,,,
65,0.099346,0.099400,,,
66,0.099114,0.099000,,,
67,0.098888,0.098400,,,
68,0.098666,0.099200,,,
69,0.098448,0.099000,,,
70,0.098235,0.098600,,,
71,0.098027,0.099000,,,
72,0.097823,0.099000,,,
73,0.097623,0.099400,,,
74,0.097426,0.099600,,,
75,0.097234,0.100400,,,
76,0.097046,0.100600,,,
77,0.096862,0.101600,,,
78,0.096681,0.104400,,,
79,0.096504,0.104600,,,
80,0.096330,0.105600,,,
81,0.096160,0.107000,,,
82,0.095993,0.107800,,,
83,0.095830,0.109000,,,
84,0.095669,0.110200,,,
85,0.095512,0.111800,,,
86,0.095358,0.112800,,,
87,0.095207,0.114000,,,
88,0.095058,0.114600,,,
89,0.094913,0.117000,,,
90,0.094771,0.117600,,,
91,0.094631,0.119000,,,
92,0.094494,0.119000,,,
93,0.094360,0.120600,,,
94,0.094228,0.122000,,,
95,0.094098,0.123400,,,
96,0.093971,0.126400,,,
97,0.093846,0.127400,,,
98,0.093724,0.130000,,,
99,0.093604,0.131800,,,
100,0.093486,0.133000,,,
101,0.093370,0.133600,,,
102,0.093256,0.135600,,,
103,0.093144,0.138000,,,
104,0.093035,0.139200,,,
105,0.092927,0.141000,,,
106,0.092821,0.142400,,,
107,0.092717,0.143200,,,
108,0.092614,0.143800,,,
109,0.092514,0.144800,,,
110,0.092415,0.146400,,,
111,0.092318,0.148600,,,
112,0.092223,0.148800,,,
113,0.092129,0.150200,,,
114,0.092037,0.151200,,,
115,0.091946,0.152400,,,
116,0.091857,0.154000,,,
117,0.091770,0.155400,,,
118,0.091684,0.156000,,,
119,0.091599,0.157400,,,
120,0.091516,0.157200,,,
121,0.091434,0.158000,,,
122,0.091354,0.160000,,,
123,0.091275,0.161400,,,
124,0.091196,0.162600,,,
125,0.091120,0.164400,,,
126,0.091044,0.165600,,,
127,0.090969,0.167000,,,
128,0.090896,0.167000,,,
129,0.090824,0.167800,,,
130,0.090752,0.169400,,,
131,0.090682,0.169800,,,
132,0.090613,0.169800,,,
133,0.090545,0.170000,,,
134,0.090478,0.171000,,,
135,0.090412,0.172000,,,
136,0.090346,0.173000,,,
137,0.090282,0.173200,,,
138,0.090218,0.173400,,,
139,0.090155,0.173800,,,
140,0.090093,0.174400,,,
141,0.090032,0.175000,,,
142,0.089972,0.176000,,,
143,0.089913,0.177800,,,
144,0.089854,0.178400,,,
145,0.089796,0.180200,,,
146,0.089739,0.180600,,,
147,0.089682,0.181200,,,
148,0.089626,0.182000,,,
149,0.089571,0.183200,,,
150,0.089517,0.184800,,,
151,0.089464,0.185200,,,
152,0.089411,0.185800,,,
153,0.089359,0.186200,,,
154,0.089307,0.186200,,,
155,0.089256,0.187600,,,
156,0.089206,0.188800,,,
157,0.089156,0.190200,,,
158,0.089106,0.190800,,,
159,0.089058,0.191800,,,
160,0.089010,0.192000,,,
161,0.088962,0.193600,,,
162,0.088916,0.194000,,,
163,0.088870,0.193800,,,
164,0.088824,0.195200,,,
165,0.088779,0.195400,,,
166,0.088734,0.196200,,,
167,0.088690,0.196800,,,
168,0.088647,0.197600,,,
